consistency_model,replication_factor,time_bench1,time_bench2
LINEARIZABLE,1,12.23736047744751,12.992967128753662
EVENTUAL,1,12.262508153915405,12.663833618164062
LINEARIZABLE,3,13.792733907699585,14.531176567077637
EVENTUAL,3,13.527143955230713,11.901367902755737
LINEARIZABLE,5,15.225075483322144,15.13552713394165
EVENTUAL,5,15.142073154449463,11.355133056640625
