consistency_model,replication_factor,time_bench1,time_bench2
LINEARIZABLE,1,5.327064037322998,5.206408500671387
EVENTUAL,1,5.035907745361328,4.720884561538696
LINEARIZABLE,3,6.5819947719573975,6.210003137588501
EVENTUAL,3,6.69992733001709,4.358027935028076
LINEARIZABLE,5,7.88041353225708,7.759880065917969
EVENTUAL,5,8.25131893157959,3.4467177391052246
